"Record ID","Nome do negócio","Data de criação","Data da última modificação","Data da última atividade","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido","Data da próxima atividade"
"14250438037","Coda Payments","2023-07-20 13:20","2023-07-20 13:33","2023-07-20 13:20","","Agendamentos (MQL)","","","","","","","","","",""
"14214450446","Sicredi","2023-07-18 15:17","2023-07-21 13:45","2023-07-19 11:44","","Agendamentos (MQL)","","","","","","","","","",""
"14213381032","Getnet ","2023-07-18 14:09","2023-07-24 10:11","2023-07-24 10:11","","Agendamentos (MQL)","","","","","","","","","","2023-07-27 11:00"
"14197387609","Calçados Aniger","2023-07-17 16:25","2023-07-17 16:30","2023-07-17 16:25","","Agendamentos (MQL)","","","","","","","","","","2023-07-24 16:00"
"14196370523","Negócio Dentsply Sirona - Paula","2023-07-17 15:22","2023-07-17 15:22","2023-07-17 15:22","","Agendamentos (MQL)","","","","","","","","","",""
"14192131993","Itaú","2023-07-17 08:22","2023-07-21 12:12","2023-07-21 11:00","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14150808694","Americas Trading Group","2023-07-14 09:37","2023-07-14 09:38","","2023-07-31 09:37","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14109118720","Hudl","2023-07-13 11:46","2023-07-21 09:45","2023-07-19 16:35","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14102501033","Schmersal","2023-07-13 09:29","2023-07-13 09:33","2023-07-13 09:29","","Agendamentos (MQL)","","","","","","","","","",""
"14058957576","Kärcher","2023-07-11 10:39","2023-07-21 09:47","2023-07-20 11:58","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14058826584","Negócio Kärcher - Davi","2023-07-11 10:36","2023-07-11 10:38","2023-07-11 10:36","","Agendamentos (MQL)","","","","","","","","","",""
"14046310302","MRV&Co","2023-07-10 14:59","2023-07-19 14:56","2023-07-13 09:30","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"14044264861","Negócio Bombril - Gustavo","2023-07-10 11:28","2023-07-10 15:01","2023-07-10 11:28","2023-07-10 15:01","Negócio perdido","","","","","","","","","Timing",""
"14012014890","Coopermota","2023-07-07 16:56","2023-07-14 11:10","2023-07-13 14:21","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13998165266","Saint-Gobain","2023-07-06 16:34","2023-07-21 11:03","2023-07-18 11:13","","Proposta Enviada (SQL)","28000.0","","","","28000.0","28000.0","14000.0","14000.0","",""
"13998110809","Millium","2023-07-06 16:03","2023-07-07 09:46","2023-07-06 16:19","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13995430544","Cacau Show","2023-07-06 13:46","2023-07-14 09:29","2023-07-12 16:34","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13980635406","Grupo GPS ","2023-07-05 13:47","2023-07-24 10:36","2023-07-24 10:36","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13978614688","Bombril","2023-07-05 09:27","2023-07-07 16:58","2023-07-07 14:00","2023-07-07 16:58","Negócio perdido","","","","","","","","","Timing",""
"13978649373","Paschoalotto","2023-07-05 09:20","2023-07-20 11:24","2023-07-06 14:27","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13977428114","Piccadilly","2023-07-05 07:47","2023-07-17 09:03","2023-07-07 09:04","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13977081120","Fitesa","2023-07-05 06:50","2023-07-17 09:03","2023-07-07 10:30","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13967169613","Solinftec","2023-07-04 09:50","2023-07-11 10:40","2023-07-05 10:48","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13971262043","Dalben","2023-07-03 00:00","2023-07-21 09:50","2023-07-20 18:59","","Proposta Enviada (SQL)","300000.0","","","","300000.0","300000.0","150000.0","150000.0","",""
"13969229060","Seres Motors","2023-07-03 00:00","2023-07-04 13:49","2023-07-04 13:46","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13912182170","Dentsply Sirona","2023-06-29 14:54","2023-07-19 15:18","2023-07-06 17:48","","Negócio perdido","","","","","","","","","Financeiro; Timing; Não é ICP",""
"13911695518","Bernhoeft","2023-06-29 13:01","2023-07-20 11:36","2023-07-06 08:39","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13898389069","Vittia","2023-06-28 09:40","2023-07-19 14:59","2023-07-07 11:32","","Proposta Enviada (SQL)","186000.0","","","","186000.0","186000.0","93000.0","93000.0","",""
"13888615997","Artecola Química","2023-06-27 17:54","2023-07-04 16:53","2023-06-29 15:45","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"13868666770","Hospital Moinhos de Vento","2023-06-26 15:03","2023-07-19 15:25","2023-06-29 13:29","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13834896405","Condor Super Center","2023-06-23 15:11","2023-06-30 10:06","2023-06-27 11:23","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13804730662","Palladium Hotel","2023-06-21 10:37","2023-07-19 15:17","2023-06-21 10:58","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13716191897","Unimed","2023-06-14 22:57","2023-07-20 11:39","2023-06-22 16:00","","Negócio perdido","","","","","","","","","Não é ICP; Nós Declinamos",""
"13691308357","Meliá Hotels","2023-06-13 14:16","2023-07-12 08:28","2023-07-10 15:24","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13691851841","Ecogen Brasil","2023-06-13 12:26","2023-07-07 09:45","2023-07-04 16:44","","Negócio perdido","","","","","","","","","Maturação; Timing","2023-12-15 10:00"
"13690301517","Palladium Hotel","2023-06-13 10:58","2023-06-21 12:13","2023-06-21 10:35","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13489361412","Hydac","2023-05-29 12:49","2023-06-29 08:20","2023-06-29 08:20","","Agendamentos (MQL)","","","","","","","","","",""
"13422604381","Cooxupé - Ecommerce","2023-05-23 09:14","2023-07-19 10:21","2023-06-14 14:58","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13411720787","VAGAS.com","2023-05-22 09:34","2023-06-19 17:00","2023-06-05 19:27","","Negócio perdido","","","","","","","","","Maturação; Fechou com Concorrente",""
"13389429885","Heineken","2023-05-19 13:51","2023-06-16 12:17","2023-06-14 10:03","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13357688177","Cooxupé","2023-05-16 16:10","2023-06-28 14:29","2023-05-17 15:23","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13356360793","Vence Tudo","2023-05-16 15:17","2023-05-16 15:23","2023-05-16 15:17","","Agendamentos (MQL)","","","","","","","","","",""
"13316079946","Super Prix","2023-05-12 15:06","2023-07-19 15:43","2023-05-30 15:49","","Negócio perdido","","","","","","","","","Financeiro; Sumiu",""
"13315910518","Grupo Curimbaba","2023-05-12 14:24","2023-05-17 14:10","2023-05-17 14:10","","Agendamentos (MQL)","","","","","","","","","",""
"13279967134","Brasil Atacadista","2023-05-09 14:47","2023-07-19 15:13","2023-05-11 17:28","","Negócio perdido","","","","","","","","","Financeiro; Nós Declinamos",""
"13205725995","Saúde Petrobrás","2023-05-02 11:32","2023-07-19 15:36","2023-05-19 15:03","","Negócio perdido","","","","","","","","","Sumiu; Nós Declinamos; Não é ICP",""
"13159599031","Eurobike","2023-04-27 12:10","2023-05-12 10:55","2023-05-09 10:53","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13128409450","Banco Carrefour","2023-04-24 22:39","2023-07-19 11:11","2023-04-28 08:01","","Negócio perdido","","","","","","","","","Nós Declinamos; Financeiro",""
"13057235528","Cocal","2023-04-19 10:03","2023-07-19 15:08","2023-05-31 10:30","","Negócio perdido","","","","","","","","","Timing; Nós Declinamos; Maturação",""
"12993392541","Positivo","2023-04-14 18:11","2023-07-16 23:57","2023-05-30 14:00","","Proposta Enviada (SQL)","400000.0","","","","400000.0","400000.0","200000.0","200000.0","",""
"12972876903","Negócio Jacto - Arêta","2023-04-13 16:08","2023-07-17 22:58","2023-05-29 09:24","","Agendamentos (MQL)","","","","","","","","","",""
"12972551455","Negócio Grupo Bertolini - Diego","2023-04-13 14:25","2023-05-30 17:58","2023-04-13 14:25","","Agendamentos (MQL)","","","","","","","","","",""
"13265384065","IAS","2023-04-08 00:00","2023-05-30 23:37","2023-05-29 13:30","","Contrato Enviado","200000.0","","","","200000.0","200000.0","190000.0","190000.0","",""
"12856570938","Itaú","2023-04-05 17:08","2023-06-28 14:35","2023-04-14 12:07","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"12826723072","Agrogalaxy","2023-04-03 16:53","2023-07-19 14:53","2023-04-10 15:36","","Negócio perdido","","","","","","","","","Nós Declinamos; Financeiro; Timing",""
"12776263680","Eurochem","2023-03-29 10:26","2023-07-19 15:11","2023-03-28 14:30","2023-03-31 10:26","Negócio perdido","720000.0","","","","720000.0","720000.0","0.0","0.0","Financeiro; Fechou com Concorrente; Desinteresse/Declinou",""
"12754190484","Isla Sementes","2023-03-28 18:00","2023-07-04 16:54","2023-04-04 15:52","","Negócio perdido","","","","","","","","","Financeiro",""
"12753468273","Sport Club Internacional","2023-03-28 16:05","2023-06-01 16:53","2023-04-25 12:04","","Negócio perdido","","","","","","","","","Financeiro",""
"12688511828","Verde AgriTech","2023-03-23 12:58","2023-07-04 16:52","2023-03-27 15:27","","Negócio perdido","","","","","","","","","Maturação; Timing",""
"12627287415","GDM Seeds","2023-03-20 14:41","2023-06-01 16:54","2023-05-03 09:10","2023-03-31 14:40","Negócio perdido","","","","","","","","","Fechou com Concorrente; Financeiro",""
"14266787179","Santander - Novo Negócio","2023-03-16 12:33","2023-07-24 09:40","2023-07-24 09:40","2023-07-31 12:32","Diagnóstico","147563.17","","","","147563.17","147563.17","59025.268000000004","59025.268000000004","",""
"12431223324","John Deere","2023-03-07 10:01","2023-06-15 13:29","2023-03-15 10:22","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"13514421933","Citrosuco Renovação ","2023-02-28 00:00","2023-07-16 23:55","2023-05-29 16:30","","Contrato Enviado","921850.0","","","","921850.0","921850.0","875757.5","875757.5","",""
"12334431491","Reservas Votorantim","2023-02-27 18:59","2023-07-19 14:44","2023-03-09 16:36","","Negócio perdido","","","","","","","","","Não é ICP; Maturação",""
"12330851164","Negócio ITX Gamer - Ana Lu","2023-02-27 14:43","2023-03-09 14:36","2023-03-06 10:30","","Agendamentos (MQL)","","","","","","","","","",""
"12268878875","Vitta Residencial","2023-02-22 12:30","2023-07-04 16:51","2023-03-01 11:34","","Negócio perdido","","","","","","","","","Financeiro",""
"12135020909","Grupo Salta Educação","2023-02-13 08:59","2023-07-19 15:24","2023-03-18 10:02","","Negócio perdido","","","","","","","","","Fechou com Concorrente; Maturação; Financeiro",""
"12087770387","Grupo Bertolini ","2023-02-09 12:44","2023-05-02 03:00","2023-02-09 15:46","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"12086241635","Negócio Vibra - Sergio","2023-02-09 12:17","2023-05-30 17:58","2023-04-13 14:28","","Agendamentos (MQL)","","","","","","","","","",""
"12070187587","Lojas Benoit","2023-02-08 14:33","2023-07-19 15:38","2023-05-15 11:52","","Negócio perdido","","","","","","","","","Maturação; Timing; Desinteresse/Declinou",""
"12053554105","Negócio Amaggi - Renê","2023-02-07 16:22","2023-05-30 17:58","2023-02-13 09:31","","Agendamentos (MQL)","","","","","","","","","",""
"12053254730","Negócio Amaggi - Erika","2023-02-07 16:21","2023-05-30 17:58","2023-02-07 16:21","","Agendamentos (MQL)","","","","","","","","","",""
"11995742584","Negócio JLL - Helder","2023-02-02 18:59","2023-05-30 17:58","2023-02-02 18:59","","Agendamentos (MQL)","","","","","","","","","",""
"11995618419","Negócio RANDON S.A. - Sheila","2023-02-02 18:51","2023-05-30 17:58","2023-02-02 18:51","","Agendamentos (MQL)","","","","","","","","","",""
"11995548005","Negócio Ottobock - Rebeca","2023-02-02 18:46","2023-05-30 17:58","2023-02-02 18:46","","Agendamentos (MQL)","","","","","","","","","",""
"11961457848","Imply Rental","2023-02-01 09:02","2023-06-01 16:54","2023-05-09 10:17","2023-02-28 09:01","Negócio perdido","","","","","","","","","Timing; Nós Declinamos",""
"13515773783","MRS","2023-01-30 00:00","2023-07-16 23:56","2023-05-30 23:43","","Negociação","275000.0","","","","275000.0","275000.0","192500.0","192500.0","",""
"11765199794","BRF Pet","2023-01-19 13:45","2023-07-19 14:45","2023-03-02 11:36","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"12536215896","Dom Atacadista","2023-01-14 00:00","2023-07-04 16:55","2023-03-08 14:30","","Negócio perdido","324000.0","","","","324000.0","324000.0","0.0","0.0","Maturação; Financeiro; Timing",""
"11646251827","DVA","2023-01-10 09:48","2023-07-20 11:43","2023-02-16 15:30","","Negócio perdido","","","","","","","","","Sumiu; Financeiro",""
"12100866664","Tembici","2023-01-08 00:00","2023-03-09 14:36","2023-02-03 16:00","","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"12100865450","Cocamar Ecomm","2023-01-08 00:00","2023-05-17 16:00","2023-02-03 10:00","2023-04-03 10:13","Cliente","236280.0","","","","236280.0","236280.0","236280.0","236280.0","",""
"11557498281","Converse","2023-01-02 18:08","2023-04-03 09:34","2023-01-13 10:00","","Negócio perdido","","","","","","","","","Nós Declinamos",""
"11369948255","LOTS Group","2022-12-16 13:57","2023-04-03 09:39","2023-02-03 19:17","2022-12-31 13:57","Negócio perdido","","","","","","","","","Financeiro; Desinteresse/Declinou",""
"11370793629","Eurochem (Retorno)","2022-12-15 15:45","2023-03-29 18:44","2023-03-29 18:44","2022-12-31 15:45","Agendamentos Aceitos (SAL)","","","","","","","","","",""
"11266793340","SuperPrix","2022-12-08 08:55","2023-05-30 15:49","2023-05-30 15:49","2022-12-31 08:54","Negócio perdido","","","","","","","","","Sumiu",""
"11234907490","Fintechmagalu","2022-12-06 10:03","2023-03-09 14:37","2022-12-06 10:28","2022-12-31 10:02","Negócio perdido","","","","","","","","","Não é ICP",""
"11222170137","Pottencial Seguradora","2022-12-05 08:56","2023-07-13 19:39","2022-12-05 09:43","2022-12-31 08:56","Negócio perdido","","","","","","","","","Timing; Nós Declinamos",""
"11156847374","BRF","2022-11-30 08:56","2023-04-12 09:52","2022-11-30 09:23","2022-11-30 08:55","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou",""
"11146533800","Banco next","2022-11-29 17:14","2023-06-21 19:48","2022-12-13 09:37","","Negócio perdido","","","","","","","","","Saiu da Empresa",""
"11074697233","Carrefour","2022-11-24 11:14","2023-07-20 11:09","2023-01-10 10:00","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"11070312612","Grupo ATTO","2022-11-23 21:27","2023-04-03 09:40","2022-12-01 09:04","","Negócio perdido","","","","","","","","","Nós Declinamos",""
"11067648141","Agua de cheiro","2022-11-23 18:01","2023-05-30 17:58","2022-12-02 11:25","2022-11-30 18:00","Negócio perdido","","","","","","","","","Financeiro",""
"11027456697","Rennova","2022-11-21 10:27","2023-07-19 15:02","2022-11-25 10:10","","Agendamentos (MQL)","","","","","","","","","",""
"10994423655","Stara","2022-11-18 09:54","2023-07-19 15:28","2022-11-22 10:13","","Negócio perdido","","","","","","","","","Maturação; Timing",""
"10984262837","Negócio Lord Brasil - Maria","2022-11-17 15:09","2023-05-30 17:58","2023-04-20 09:41","","Agendamentos (MQL)","","","","","","","","","",""
"10995330926","Agrotoken","2022-11-17 11:54","2023-03-09 14:36","2023-01-11 11:00","2022-11-30 11:53","Negócio perdido","","","","","","","","","Fechou com Concorrente; Financeiro",""
"10980854596","Bebidas Poty","2022-11-17 10:46","2023-07-20 11:14","2022-11-24 10:54","","Negócio perdido","","","","","","","","","Timing; Financeiro",""
"10969649465","Rumo","2022-11-16 16:38","2023-03-09 14:36","2022-11-29 15:28","2022-11-23 11:30","Negócio perdido","","","","","","","","","Não é ICP; Financeiro",""
"10886978836","Evino","2022-11-10 16:39","2023-03-09 14:36","2022-11-22 12:47","2023-01-20 16:32","Negócio perdido","","","","","","","","","Maturação",""
"10859783191","Hospital Alemão Oswaldo Cruz","2022-11-08 16:46","2023-07-20 11:21","2022-11-09 19:33","","Negócio perdido","","","","","","","","","Saiu da Empresa",""
"10844814487","AD'ORO","2022-11-07 15:23","2023-05-30 17:58","2022-11-21 14:57","","Agendamentos (MQL)","","","","","","","","","",""
"10766607698","Jussara Laticineos - Retomada","2022-11-01 09:16","2023-07-19 14:59","2023-03-24 10:16","","Agendamentos (MQL)","","","","","","","","","",""
"10677021007","Accor","2022-10-24 16:35","2023-04-03 09:34","2022-11-10 14:18","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Financeiro",""
"10630221896","Wiley","2022-10-20 09:43","2023-04-03 09:41","2022-10-20 10:19","2022-10-31 09:41","Negócio perdido","","","","","","","","","Financeiro; Não é ICP",""
"10619139943","Nestlé","2022-10-19 16:16","2023-06-26 10:51","2022-10-26 15:00","","Negócio perdido","","","","","","","","","Maturação; Nós Declinamos",""
"10615291916","Negócio KWS Group - Bianca","2022-10-19 09:15","2023-05-30 17:58","2022-10-19 09:15","","Agendamentos (MQL)","","","","","","","","","",""
"10615749476","SPRAYTEC","2022-10-18 10:43","2023-04-03 09:41","2022-11-22 14:00","2022-10-31 10:42","Negócio perdido","","","","","","","","","Não é ICP",""
"10590690171","Zensa","2022-10-17 09:55","2023-07-20 11:28","2022-11-08 11:30","","Negócio perdido","","","","","","","","","Não é ICP",""
"10554387775","Loja Cocamar","2022-10-13 15:27","2023-03-21 10:04","2023-03-21 10:00","","Diagnóstico","","","","","","","","","",""
"10423344008","EMS","2022-10-03 10:27","2023-06-06 13:13","2022-11-21 14:09","","Negócio perdido","","","","","","","","","Saiu da Empresa; Desinteresse/Declinou",""
"10358562966","New Holland - Construction","2022-09-29 15:53","2023-07-04 16:55","2023-03-16 09:34","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"10289777579","Cocamar - Retomada","2022-09-23 18:05","2023-03-13 15:03","2023-02-28 12:00","2022-11-24 12:07","Cliente","361995.96","","","","361995.96","361995.96","361995.96","361995.96","",""
"10282208687","Kuaishou","2022-09-22 21:56","2023-04-03 09:33","2022-10-11 10:47","","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou",""
"10279522896","3M ","2022-09-22 17:07","2023-07-19 15:25","2023-02-13 08:00","2022-10-26 16:16","Negócio perdido","","","","","","","","","Maturação",""
"10277598247","Enel X ","2022-09-22 15:04","2023-07-20 11:48","2023-05-10 15:28","","Agendamentos (MQL)","","","","","","","","","",""
"10268226307","CNN Brasil","2022-09-21 17:25","2023-07-19 15:26","2022-09-23 11:31","","Negócio perdido","","","","","","","","","Sumiu; Timing",""
"10239355748","Nissan","2022-09-19 15:09","2023-04-03 09:33","2022-10-13 17:24","","Negócio perdido","","","","","","","","","Maturação; Saiu da Empresa",""
"10288664398","Evera by Citrosuco","2022-09-16 11:47","2023-03-13 15:12","2022-10-31 12:16","2022-11-11 11:34","Cliente","463387.59","","","","463387.59","463387.59","463387.59","463387.59","",""
"10194908756","CBC","2022-09-15 11:54","2023-07-19 15:28","2022-09-29 20:33","2023-01-20 16:27","Negócio perdido","","","","","","","","","Não é ICP",""
"10161938786","HONDA","2022-09-12 16:40","2023-07-04 16:56","2022-09-20 15:30","","Negócio perdido","","","","","","","","","Maturação; Desinteresse/Declinou; Timing",""
"10161251850","Gazin","2022-09-12 16:06","2023-07-20 11:11","2022-10-25 15:49","2023-01-20 16:27","Negócio perdido","","","","","","","","","Sumiu; Desinteresse/Declinou",""
"10160287395","Dpaschoal","2022-09-12 12:24","2023-07-20 11:24","2022-09-19 11:43","","Negócio perdido","","","","","","","","","Financeiro",""
"10117266732","Teuto","2022-09-08 15:00","2023-07-20 11:10","2022-09-29 19:37","2023-01-20 16:27","Negócio perdido","","","","","","","","","Financeiro",""
"10070324108","Negócio Eletrobras - Renata","2022-09-05 13:47","2023-05-30 17:58","2022-09-13 15:24","","Agendamentos (MQL)","","","","","","","","","",""
"10070151285","Rede Sim de Postos","2022-09-05 13:45","2023-07-19 14:59","2022-10-07 09:00","","Negócio perdido","","","","","","","","","Financeiro; Maturação",""
"10067849484","Portobello - Pointer","2022-09-05 11:44","2023-07-20 11:59","2022-09-20 09:36","2022-10-03 11:38","Negócio perdido","","","","","","","","","Financeiro; Não é ICP",""
"9943275788","Arlan","2022-08-26 11:53","2023-05-30 17:58","2022-09-27 16:00","","Agendamentos (MQL)","","","","","","","","","",""
"9942666548","PepsiCo","2022-08-26 09:52","2023-05-25 22:36","2022-10-10 11:36","","Agendamentos (MQL)","","","","","","","","","",""
"9922745002","Foco Aluguel de Carro","2022-08-24 16:55","2023-07-19 14:58","2022-10-03 17:41","","Negócio perdido","","","","","","","","","Financeiro; Timing",""
"9910334978","Grupo Líder","2022-08-23 15:08","2023-07-19 15:07","2022-10-26 15:30","","Negócio perdido","","","","","","","","","Não é ICP",""
"9907461386","We Pink","2022-08-23 11:32","2023-03-30 17:08","2022-08-23 14:47","","Negócio perdido","","","","","","","","","Não é ICP",""
